thread=139918294496960; worker=1; libro=2; palabras=47314; inicio=2025-11-30 15:42:07.098; fin=2025-11-30 15:42:07.135
thread=139918156232384; worker=2; libro=27; palabras=131867; inicio=2025-11-30 15:42:08.326; fin=2025-11-30 15:42:08.423
thread=139918294496960; worker=1; libro=26; palabras=185839; inicio=2025-11-30 15:42:08.326; fin=2025-11-30 15:42:08.468
thread=139918302889664; worker=0; libro=25; palabras=222581; inicio=2025-11-30 15:42:08.326; fin=2025-11-30 15:42:08.493
thread=139918302889664; worker=2; libro=30; palabras=30011; inicio=2025-11-30 15:42:08.496; fin=2025-11-30 15:42:08.525
thread=139918156232384; worker=0; libro=28; palabras=92854; inicio=2025-11-30 15:42:08.495; fin=2025-11-30 15:42:08.569
thread=139918294496960; worker=1; libro=29; palabras=304376; inicio=2025-11-30 15:42:08.495; fin=2025-11-30 15:42:08.738
thread=139918156232384; worker=2; libro=32; palabras=86640; inicio=2025-11-30 15:42:08.740; fin=2025-11-30 15:42:08.806
thread=139918294496960; worker=1; libro=33; palabras=109138; inicio=2025-11-30 15:42:08.740; fin=2025-11-30 15:42:08.819
thread=139918302889664; worker=0; libro=31; palabras=134493; inicio=2025-11-30 15:42:08.740; fin=2025-11-30 15:42:08.841
thread=139918294496960; worker=1; libro=34; palabras=25776; inicio=2025-11-30 15:42:08.842; fin=2025-11-30 15:42:08.866
thread=139918302889664; worker=2; libro=36; palabras=117350; inicio=2025-11-30 15:42:08.842; fin=2025-11-30 15:42:08.949
thread=139918156232384; worker=0; libro=35; palabras=992331; inicio=2025-11-30 15:42:08.842; fin=2025-11-30 15:42:09.543
thread=139918302889664; worker=0; libro=37; palabras=70204; inicio=2025-11-30 15:42:09.546; fin=2025-11-30 15:42:09.608
thread=139918294496960; worker=1; libro=38; palabras=103490; inicio=2025-11-30 15:42:09.547; fin=2025-11-30 15:42:09.631
thread=139918156232384; worker=2; libro=39; palabras=111843; inicio=2025-11-30 15:42:09.547; fin=2025-11-30 15:42:09.641
thread=139918302889664; worker=2; libro=42; palabras=80980; inicio=2025-11-30 15:42:09.643; fin=2025-11-30 15:42:09.706
thread=139918294496960; worker=1; libro=41; palabras=173576; inicio=2025-11-30 15:42:09.643; fin=2025-11-30 15:42:09.762
thread=139918156232384; worker=0; libro=40; palabras=395203; inicio=2025-11-30 15:42:09.643; fin=2025-11-30 15:42:09.944
thread=139918294496960; worker=1; libro=44; palabras=117284; inicio=2025-11-30 15:42:09.948; fin=2025-11-30 15:42:10.036
thread=139918156232384; worker=2; libro=45; palabras=141049; inicio=2025-11-30 15:42:09.948; fin=2025-11-30 15:42:10.053
thread=139918302889664; worker=0; libro=43; palabras=203029; inicio=2025-11-30 15:42:09.947; fin=2025-11-30 15:42:10.088
thread=139918302889664; worker=2; libro=47; palabras=92187; inicio=2025-11-30 15:42:10.089; fin=2025-11-30 15:42:10.171
thread=139918294496960; worker=1; libro=48; palabras=145111; inicio=2025-11-30 15:42:10.089; fin=2025-11-30 15:42:10.203
thread=139918156232384; worker=0; libro=46; palabras=286240; inicio=2025-11-30 15:42:10.089; fin=2025-11-30 15:42:10.321
thread=139918302889664; worker=0; libro=49; palabras=60293; inicio=2025-11-30 15:42:10.324; fin=2025-11-30 15:42:10.370
