thread=139927631386304; worker=6; libro=7; palabras=31487; inicio=2025-11-30 16:02:52.313; fin=2025-11-30 16:02:52.358
thread=139927631386304; worker=0; libro=37; palabras=70204; inicio=2025-11-30 16:02:54.344; fin=2025-11-30 16:02:54.453
thread=139927664957120; worker=6; libro=42; palabras=80980; inicio=2025-11-30 16:02:54.344; fin=2025-11-30 16:02:54.468
thread=139927648171712; worker=2; libro=38; palabras=103490; inicio=2025-11-30 16:02:54.344; fin=2025-11-30 16:02:54.489
thread=139927656564416; worker=3; libro=39; palabras=111843; inicio=2025-11-30 16:02:54.344; fin=2025-11-30 16:02:54.504
thread=139927639779008; worker=1; libro=36; palabras=117350; inicio=2025-11-30 16:02:54.344; fin=2025-11-30 16:02:54.517
thread=139927673349824; worker=5; libro=41; palabras=173576; inicio=2025-11-30 16:02:54.344; fin=2025-11-30 16:02:54.532
thread=139927681742528; worker=4; libro=40; palabras=395203; inicio=2025-11-30 16:02:54.344; fin=2025-11-30 16:02:54.758
thread=139927631386304; worker=6; libro=49; palabras=60293; inicio=2025-11-30 16:02:54.762; fin=2025-11-30 16:02:54.829
thread=139927648171712; worker=4; libro=47; palabras=92187; inicio=2025-11-30 16:02:54.762; fin=2025-11-30 16:02:54.862
thread=139927681742528; worker=2; libro=44; palabras=117284; inicio=2025-11-30 16:02:54.762; fin=2025-11-30 16:02:54.879
thread=139927656564416; worker=3; libro=45; palabras=141049; inicio=2025-11-30 16:02:54.762; fin=2025-11-30 16:02:54.900
thread=139927639779008; worker=5; libro=48; palabras=145111; inicio=2025-11-30 16:02:54.762; fin=2025-11-30 16:02:54.912
thread=139927664957120; worker=0; libro=43; palabras=203029; inicio=2025-11-30 16:02:54.762; fin=2025-11-30 16:02:54.930
thread=139927673349824; worker=1; libro=46; palabras=286240; inicio=2025-11-30 16:02:54.762; fin=2025-11-30 16:02:55.026
